k,transpiration,radiation,biomass,evaporation,water_uptake,shoot_biomass,PotentialGrowth,root_biomass,leaf,storage,ETc,ETo,lai,water_stress,potential_depth,stem,stress,rooting_depth,ActualGrowth
1,442.665209061,3975.8,3483.53311375,164.60698855,207.293219864,3132.21356301,148.106865777,351.319550743,638.669124368,1168.5035849,607.272197611,516.784027011,34.5580342713,72.3579886989,9072.0,1325.04085374,72.3579886989,4260.64589311,64.2734904154,
2,442.665209061,3975.8,7691.88881276,164.60698855,207.293219864,7017.66479731,341.015058986,674.224015452,1281.60175965,2806.14763273,607.272197611,516.784027011,53.3524816411,72.3579886989,9072.0,2929.91540493,72.3579886989,4260.64589311,147.304176875,
3,442.665209061,3975.8,14278.1561979,164.60698855,207.293219864,13142.8834731,649.579463896,1135.27272486,2228.07432936,5472.32511724,607.272197611,516.784027011,80.692843422,72.3579886989,9072.0,5442.48402647,72.3579886989,4260.64589311,279.708312071,
4,442.665209061,3975.8,22833.6706213,164.60698855,207.293219864,21114.7756623,1048.20148257,1718.894959,3475.48719682,8922.67659764,607.272197611,516.784027011,116.56038078,72.3579886989,9072.0,8716.61186781,72.3579886989,4260.64589311,451.531375855,
5,442.665209061,3975.8,31876.1918298,163.429064498,207.293219864,29520.7295741,1454.55903073,2355.46225566,4922.54894448,12394.9281024,606.094273559,516.784027011,158.258550261,72.3579886989,9072.0,12203.2525273,72.3579886989,4260.64589311,629.328411263,
6,442.665209061,3975.8,39836.5344198,160.005484007,208.183136836,36872.8786336,1787.68555571,2963.65578621,6408.0848461,15154.8464862,602.670693068,516.784027011,201.413840409,72.3579886989,9072.0,15309.9473013,72.3579886989,4260.64589311,779.238904581,
7,442.665209061,3975.8,47149.2363133,136.985220491,217.634445308,43629.616936,2020.64209461,3519.61937734,7794.02386195,17869.925343,579.650429552,516.784027011,242.18895649,70.4374488836,9072.0,17965.667731,70.4374488836,4297.22941934,928.553079344,
