Value"0.2"0.3"0.4"0.5"0.6"0.7"0.8
transpiration"442.665209061"442.665209061"442.665209061"442.665209061"442.665209061"442.665209061"442.665209061"
radiation"3975.8"3975.8"3975.8"3975.8"3975.8"3975.8"3975.8"
biomass"3483.53311375"7691.88881276"14278.1561979"22833.6706213"31876.1918298"39836.5344198"47149.2363133"
evaporation"164.60698855"164.60698855"164.60698855"164.60698855"163.429064498"160.005484007"136.985220491"
water_uptake"207.293219864"207.293219864"207.293219864"207.293219864"207.293219864"208.183136836"217.634445308"
shoot_biomass"3132.21356301"7017.66479731"13142.8834731"21114.7756623"29520.7295741"36872.8786336"43629.616936"
PotentialGrowth"148.106865777"341.015058986"649.579463896"1048.20148257"1454.55903073"1787.68555571"2020.64209461"
root_biomass"351.319550743"674.224015452"1135.27272486"1718.894959"2355.46225566"2963.65578621"3519.61937734"
leaf"638.669124368"1281.60175965"2228.07432936"3475.48719682"4922.54894448"6408.0848461"7794.02386195"
storage"1168.5035849"2806.14763273"5472.32511724"8922.67659764"12394.9281024"15154.8464862"17869.925343"
ETc"607.272197611"607.272197611"607.272197611"607.272197611"606.094273559"602.670693068"579.650429552"
ETo"516.784027011"516.784027011"516.784027011"516.784027011"516.784027011"516.784027011"516.784027011"
lai"34.5580342713"53.3524816411"80.692843422"116.56038078"158.258550261"201.413840409"242.18895649"
water_stress"72.3579886989"72.3579886989"72.3579886989"72.3579886989"72.3579886989"72.3579886989"70.4374488836"
potential_depth"9072.0"9072.0"9072.0"9072.0"9072.0"9072.0"9072.0"
stem"1325.04085374"2929.91540493"5442.48402647"8716.61186781"12203.2525273"15309.9473013"17965.667731"
stress"72.3579886989"72.3579886989"72.3579886989"72.3579886989"72.3579886989"72.3579886989"70.4374488836"
rooting_depth"4260.64589311"4260.64589311"4260.64589311"4260.64589311"4260.64589311"4260.64589311"4297.22941934"
ActualGrowth"64.2734904154"147.304176875"279.708312071"451.531375855"629.328411263"779.238904581"928.553079344"
