Plot;Year;Month;Day;stem & leaf  [dry matter(kg/ha)]
1;1994;3;9;50
1;1994;4;19;235
1;1994;5;26;4283
1;1994;6;14;7949
1;1994;7;26;5393
1;1998;6;9;5657
