PLOT;YEAR_;MONTH_;DAY_;WATER_30_60_CM_VOL_PROZ
plot2;1993;4;21;11.1
plot2;1993;5;3;11.7
plot2;1993;6;14;16.4
plot2;1993;6;28;12.4
plot2;1993;7;13;12
plot2;1993;8;3;8
plot2;1993;8;17;6.4
plot2;1993;8;31;3.8
plot2;1993;9;21;10.2
plot2;1993;12;7;13.5
plot2;1994;3;8;17.5
plot2;1994;4;19;13.5
plot2;1994;5;27;13.1
plot2;1994;6;15;9.9
plot2;1994;7;27;8
plot2;1994;9;21;12.8
plot2;1994;11;30;13.8
plot2;1995;3;13;12.9
plot2;1995;4;26;12.7
plot2;1995;6;7;11.5
plot2;1995;7;17;9.6
plot2;1996;4;22;10.7
plot2;1996;8;26;11.8
plot2;1997;5;5;12
plot2;1997;10;1;6.7
plot2;1998;7;29;7.4
