Plot;Year;Month;Day;Root_kgha;StemLeaves_kgha;StorageOrgans_kgha
1;1994;3;9;16;50;-99999
1;1994;4;19;52;235;-99999
1;1994;5;26;801;4283;-99999
1;1994;6;14;879;7949;1353
1;1994;7;26;-99999;5393;7690
1;1998;6;9;-99999;5657;1554
