PLOT;YEAR_;MONTH_;DAY_;WATER_0_30_CM_VOL_PROZ
plot2;1993;4;21;9.8
plot2;1993;5;3;9.5
plot2;1993;6;14;21.2
plot2;1993;6;28;14
plot2;1993;7;13;13.7
plot2;1993;8;3;9.9
plot2;1993;8;17;5.6
plot2;1993;8;31;7.5
plot2;1993;9;21;11.3
plot2;1993;12;7;15.9
plot2;1994;3;8;18.3
plot2;1994;4;19;14.5
plot2;1994;5;27;16.8
plot2;1994;6;15;9.4
plot2;1994;7;27;6.3
plot2;1994;9;21;14.8
plot2;1994;11;30;16.6
plot2;1995;3;13;14.4
plot2;1995;4;26;12.2
plot2;1995;6;7;19.3
plot2;1995;7;17;11.1
plot2;1996;4;22;10
plot2;1996;8;26;15.4
plot2;1997;5;5;12.5
plot2;1997;10;1;6.7
plot2;1998;7;29;11.9
