Plot;Year;Month;Day;stem & leaf  [dry matter(kg/ha)]
3;1994;3;9;67
3;1994;4;19;255
3;1994;5;26;4532
3;1994;6;14;6488
3;1994;7;26;5013
3;1998;6;9;4121
