PLOT;YEAR_;MONTH_;DAY_;WATER_0_30_CM_VOL_PROZ
plot1;1993;4;21;10.6
plot1;1993;5;3;9.1
plot1;1993;7;13;15.2
plot1;1993;8;3;9.9
plot1;1993;8;17;7.1
plot1;1993;8;31;12
plot1;1993;9;21;13.7
plot1;1993;12;7;17.6
plot1;1994;3;8;20.2
plot1;1994;4;19;14.4
plot1;1994;5;27;17.7
plot1;1994;6;15;8.9
plot1;1994;7;27;3
plot1;1994;9;21;14.9
plot1;1994;11;30;18.1
plot1;1995;3;13;14.3
plot1;1995;4;26;12.9
plot1;1995;6;7;17.8
plot1;1995;7;17;7.9
plot1;1996;4;22;10.9
plot1;1996;8;26;13.3
plot1;1997;5;5;13
plot1;1997;10;1;7.4
plot1;1998;7;29;10.1
