Year,Month,Day,stem and leaf[dry matter(kg/ha)]
1994,3,9,0.0
1994,4,19,39.1993581073
1994,5,26,2500.74940621
1994,6,14,3971.39599905
1994,7,26,3971.39599905
1998,6,9,3044.15462938
