PLOT;YEAR_;MONTH_;DAY_;WATER_60_90_CM_VOL_PROZ
plot3;1993;4;21;14.8
plot3;1993;5;3;14.8
plot3;1993;6;14;16.3
plot3;1993;6;28;14.9
plot3;1993;7;13;11.7
plot3;1993;8;3;13
plot3;1993;8;17;7.9
plot3;1993;8;31;8.7
plot3;1993;9;21;8
plot3;1993;12;7;12.8
plot3;1994;3;8;16.3
plot3;1994;4;19;15.6
plot3;1994;5;27;14.9
plot3;1994;6;15;12.7
plot3;1994;7;27;9.6
plot3;1994;9;21;14.9
plot3;1994;11;30;15.7
plot3;1995;3;13;13.2
plot3;1995;4;26;14.7
plot3;1995;6;7;14.5
plot3;1995;7;17;11.4
plot3;1996;4;22;13.9
plot3;1996;8;26;10.1
plot3;1997;5;5;13.4
plot3;1997;10;1;7.7
plot3;1998;7;29;7.9
