Year,Month,Day,stem and leaf[dry matter(kg/ha)]
1994,3,9,0.0
1994,4,19,39.1993581073
1994,5,26,2314.03271527
1994,6,14,3734.36668653
1994,7,26,3734.36668653
1998,6,9,2670.21918815
