Year,Month,Day,stem [dry matter(kg/ha)],leaf [dry matter (kg/ha)],stem and leaf[dry matter(kg/ha)]
1994,3,9,0.0,0.0,0.0
1994,4,19,19.5996790537,19.5996790537,39.1993581073
1994,5,26,1265.37017977,1235.37922644,2500.74940621
1994,6,14,2736.0167726,1235.37922644,3971.39599905
1994,7,26,2736.0167726,1235.37922644,3971.39599905
1998,6,9,2021.33214451,1022.82248487,3044.15462938
