PLOT;DATE_;YEAR_;MONTH_;DAY_;JULIAN_DAY;WATER_0_30_CM_VOL_PROZ;WATER_30_60_CM_VOL_PROZ;WATER_60_90_CM_VOL_PROZ
plot2;21.04.1993;1993;4;21;111;9.8;11.1;13.5
plot2;03.05.1993;1993;5;3;123;9.5;11.7;13.1
plot2;14.06.1993;1993;6;14;165;21.2;16.4;20
plot2;28.06.1993;1993;6;28;179;14;12.4;15.9
plot2;13.07.1993;1993;7;13;194;13.7;12;11.4
plot2;03.08.1993;1993;8;3;215;9.9;8;8.9
plot2;17.08.1993;1993;8;17;229;5.6;6.4;10.4
plot2;31.08.1993;1993;8;31;243;7.5;3.8;8.3
plot2;21.09.1993;1993;9;21;264;11.3;10.2;8.3
plot2;07.12.1993;1993;12;7;341;15.9;13.5;14.7
plot2;08.03.1994;1994;3;8;67;18.3;17.5;18.1
plot2;19.04.1994;1994;4;19;109;14.5;13.5;17.1
plot2;27.05.1994;1994;5;27;147;16.8;13.1;15.7
plot2;15.06.1994;1994;6;15;166;9.4;9.9;15.4
plot2;27.07.1994;1994;7;27;208;6.3;8;10.6
plot2;21.09.1994;1994;9;21;264;14.8;12.8;16.3
plot2;30.11.1994;1994;11;30;334;16.6;13.8;16
plot2;13.03.1995;1995;3;13;72;14.4;12.9;16.1
plot2;26.04.1995;1995;4;26;116;12.2;12.7;17.3
plot2;07.06.1995;1995;6;7;158;19.3;11.5;14.3
plot2;17.07.1995;1995;7;17;198;11.1;9.6;13.7
plot2;22.04.1996;1996;4;22;112;10;10.7;17.1
plot2;26.08.1996;1996;8;26;238;15.4;11.8;13.7
plot2;05.05.1997;1997;5;5;125;12.5;12;15
plot2;01.10.1997;1997;10;1;274;6.7;6.7;8.4
plot2;29.07.1998;1998;7;29;210;11.9;7.4;11.2
