Year,Month,Day,Watercontent0-30cm
1993,4,21,19.0559061267
1993,5,3,14.2399543663
1993,6,14,27.0637746339
1993,6,28,19.8442883708
1993,7,13,19.4328683571
1993,8,3,16.0301124389
1993,8,17,15.3331661872
1993,8,31,18.538294377
1993,9,21,21.8988246253
1993,12,7,23.6001534722
1994,3,8,25.3642403877
1994,4,19,24.7827301162
1994,5,27,23.5583076174
1994,6,15,18.6857681464
1994,7,27,7.18588221864
1994,9,21,23.9397409663
1994,11,30,24.2332517898
1995,3,13,23.6137731223
1995,4,26,19.3986567054
1995,6,7,21.0603084456
1995,7,17,10.5765704282
1996,4,22,15.1789729161
1996,8,26,18.0625148839
1997,5,5,17.1856755526
1997,10,1,16.6805085432
1998,7,29,11.645888366
