Year,Month,Day,Watercontent60-90cm
1993,4,21,18.69207257
1993,5,3,18.4512037429
1993,6,14,17.9482303988
1993,6,28,18.3137011947
1993,7,13,18.1230442041
1993,8,3,17.8447721379
1993,8,17,17.7185904583
1993,8,31,17.6215138689
1993,9,21,17.8127972881
1993,12,7,19.58408465
1994,3,8,20.7831065637
1994,4,19,21.8662318231
1994,5,27,18.8738289421
1994,6,15,18.1204411879
1994,7,27,15.8497540819
1994,9,21,16.950800237
1994,11,30,19.3630707944
1995,3,13,20.7574257148
1995,4,26,20.0358528095
1995,6,7,18.4944567772
1995,7,17,17.1174275013
1996,4,22,17.4951648922
1996,8,26,16.1066286942
1997,5,5,17.5891826541
1997,10,1,17.0880897609
1998,7,29,16.6203698245
