Year,Month,Day,Watercontent60-90cm
1993,4,21,5.71698381035
1993,5,3,5.67949358231
1993,7,13,5.48112165818
1993,8,3,5.42889310474
1993,8,17,5.3954672432
1993,8,31,5.3630812266
1993,9,21,5.31632480493
1993,12,7,5.16110125011
1994,3,8,5.00407156465
1994,4,19,4.9392851434
1994,5,27,4.88421215281
1994,6,15,4.85781827392
1994,7,27,4.80197223335
1994,9,21,4.73233273679
1994,11,30,4.652084561
1995,3,13,4.5455850767
1995,4,26,4.50370397386
1995,6,7,4.46551329978
1995,7,17,4.4306319875
1996,4,22,4.21980654148
1996,8,26,4.13999099884
1997,5,5,4.00086602397
1997,10,1,3.92892544321
1998,7,29,3.80156582181
