Year,Month,Day,Watercontent30-60cm
1993,4,21,21.6066452326
1993,5,3,20.3710589561
1993,6,14,23.4498596545
1993,6,28,21.5209036909
1993,7,13,19.5720941008
1993,8,3,19.3971509535
1993,8,17,19.3582959394
1993,8,31,18.9114770444
1993,9,21,23.1542170922
1993,12,7,23.9546962094
1994,3,8,25.6842084708
1994,4,19,25.9966270983
1994,5,27,23.6871237341
1994,6,15,20.8069189049
1994,7,27,11.3625769019
1994,9,21,24.4131425485
1994,11,30,24.5839979451
1995,3,13,24.6888289329
1995,4,26,23.3056931631
1995,6,7,21.3547148559
1995,7,17,17.0615142513
1996,4,22,19.6064358834
1996,8,26,17.9014123455
1997,5,5,20.2656173139
1997,10,1,19.8231346852
1998,7,29,10.8022081924
