PLOT;YEAR_;MONTH_;DAY_;WATER_0_30_CM_VOL_PROZ
plot3;1993;4;21;11.2
plot3;1993;5;3;8.5
plot3;1993;6;14;18.6
plot3;1993;6;28;14.6
plot3;1993;7;13;13.3
plot3;1993;8;3;11.1
plot3;1993;8;17;4.8
plot3;1993;8;31;11
plot3;1993;9;21;12.5
plot3;1993;12;7;15.2
plot3;1994;3;8;19
plot3;1994;4;19;14.4
plot3;1994;5;27;16.6
plot3;1994;6;15;9.2
plot3;1994;7;27;6.3
plot3;1994;9;21;13.8
plot3;1994;11;30;16.8
plot3;1995;3;13;14.5
plot3;1995;4;26;12.5
plot3;1995;6;7;19.3
plot3;1995;7;17;8.9
plot3;1996;4;22;11.1
plot3;1996;8;26;14.8
plot3;1997;5;5;13.2
plot3;1997;10;1;7.1
plot3;1998;7;29;10.3
