Year,Month,Day,Watercontent0-30cm
1993,4,21,17.5055511634
1993,5,3,11.7618503653
1993,6,14,28.353413411
1993,6,28,20.7852281864
1993,7,13,17.8439816833
1993,8,3,13.6859011389
1993,8,17,13.6500303473
1993,8,31,16.6402815018
1993,9,21,23.8540655184
1993,12,7,26.6749577931
1994,3,8,28.2662874602
1994,4,19,28.4582105261
1994,5,27,23.7648742556
1994,6,15,17.5596925378
1994,7,27,6.56763335964
1994,9,21,27.5655149522
1994,11,30,27.5391757659
1995,3,13,26.0377837304
1995,4,26,20.1391743135
1995,6,7,18.3221963674
1995,7,17,9.10458421041
1996,4,22,13.4263661994
1996,8,26,16.8101671209
1997,5,5,15.5974527043
1997,10,1,15.172753793
1998,7,29,9.01012630026
