Year,Month,Day,stem [dry matter(kg/ha)],leaf [dry matter (kg/ha)],stem and leaf[dry matter(kg/ha)]
1994,3,9,0.0,0.0,0.0
1994,4,19,19.5996790537,19.5996790537,39.1993581073
1994,5,26,1171.66066721,1142.37204805,2314.03271527
1994,6,14,2591.99463848,1142.37204805,3734.36668653
1994,7,26,2591.99463848,1142.37204805,3734.36668653
1998,6,9,1752.32762866,917.891559488,2670.21918815
