"Year"	"Month"	"Day"	"Rainfall"	"Stage"	"Transpiration"	"Evaporation"	"Wateruptake"	"Root biomass"	"Shoot biomass"	"PotentialGrowth"	"ActualGrowht"	"LAI"	"RootingDepth"	"Stress"	"Watercontent0-30cm"	"Watercontent30-60cm"	"Watercontent60-90cm"
"1992"	"1"	"1"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.6001471904"	"23.2581570396"	"23.7720980807"
"1992"	"1"	"2"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.6001471904"	"23.2581570396"	"23.7720980807"
"1992"	"1"	"3"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.3534407257"	"23.2170643918"	"23.7689638618"
"1992"	"1"	"4"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.1540059544"	"23.137543869"	"23.7550825201"
"1992"	"1"	"5"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.1293314949"	"23.062263211"	"23.7281791274"
"1992"	"1"	"6"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.1575826238"	"23.0173258855"	"23.6956251905"
"1992"	"1"	"7"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.2490823983"	"23.0008082362"	"23.6651961056"
"1992"	"1"	"8"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.2092596543"	"22.9962674801"	"23.6413841831"
"1992"	"1"	"9"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.1208031597"	"22.9740941134"	"23.6223784277"
"1992"	"1"	"10"	"2.1"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.4447314481"	"22.9618630373"	"23.6031208562"
"1992"	"1"	"11"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.6287534073"	"23.0561804188"	"23.5914909729"
"1992"	"1"	"12"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.570144338"	"23.1091725338"	"23.6017522982"
"1992"	"1"	"13"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.5604795259"	"23.1251790397"	"23.6167885905"
"1992"	"1"	"14"	"1.2"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.7492648689"	"23.1486100934"	"23.6292521978"
"1992"	"1"	"15"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.8850405174"	"23.2309023732"	"23.6459238636"
"1992"	"1"	"16"	"0.3"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.7733068587"	"23.2702232543"	"23.6747765321"
"1992"	"1"	"17"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.6954787575"	"23.2709639774"	"23.7002889942"
"1992"	"1"	"18"	"0.8"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22.6701814292"	"23.2524726491"	"23.7165296751"
"1992"	"1"	"19"	"13.4"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24.7973356059"	"23.4738180306"	"23.7276915842"
"1992"	"1"	"20"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25.6770473132"	"24.6663198072"	"23.8976352185"
"1992"	"1"	"21"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24.8545318729"	"24.8355740072"	"24.3050934454"
"1992"	"1"	"22"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24.5282904409"	"24.7348204576"	"24.5428268008"
"1992"	"1"	"23"	"0.0"	""	"0"	"0"	"0.0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24.2867236702"	"24.6376111395"	"24.6611570482"
