Year,Month,Day,Watercontent30-60cm
1993,4,21,17.1126775791
1993,5,3,16.3678503082
1993,6,14,17.735979134
1993,6,28,17.7035238992
1993,7,13,16.2158093872
1993,8,3,15.7707864511
1993,8,17,15.6738485889
1993,8,31,15.4750744383
1993,9,21,18.6734719873
1993,12,7,20.3839735668
1994,3,8,21.3032794655
1994,4,19,22.1060262613
1994,5,27,17.8211428987
1994,6,15,15.3921422688
1994,7,27,7.35499503904
1994,9,21,19.7604981613
1994,11,30,20.7503350082
1995,3,13,20.5592613201
1995,4,26,19.0955258184
1995,6,7,15.9946324093
1995,7,17,11.5470381599
1996,4,22,15.785284585
1996,8,26,10.2232520176
1997,5,5,16.177722528
1997,10,1,15.8959750075
1998,7,29,7.61276543833
