PLOT;YEAR_;MONTH_;DAY_;WATER_30_60_CM_VOL_PROZ
plot1;1993;4;21;11.6
plot1;1993;5;3;11.7
plot1;1993;7;13;13.2
plot1;1993;8;3;9.3
plot1;1993;8;17;7.2
plot1;1993;8;31;5.8
plot1;1993;9;21;10.9
plot1;1993;12;7;14.1
plot1;1994;3;8;19
plot1;1994;4;19;14
plot1;1994;5;27;12.5
plot1;1994;6;15;9.8
plot1;1994;7;27;3.5
plot1;1994;9;21;13.7
plot1;1994;11;30;13.8
plot1;1995;3;13;12.5
plot1;1995;4;26;13.7
plot1;1995;6;7;17.2
plot1;1995;7;17;8.1
plot1;1996;4;22;10.7
plot1;1996;8;26;7.6
plot1;1997;5;5;11.6
plot1;1997;10;1;6.7
plot1;1998;7;29;5.1
