PLOT;YEAR_;MONTH_;DAY_;WATER_30_60_CM_VOL_PROZ
plot3;1993;4;21;11.6
plot3;1993;5;3;12.1
plot3;1993;6;14;15.7
plot3;1993;6;28;13.8
plot3;1993;7;13;10.2
plot3;1993;8;3;11.1
plot3;1993;8;17;4.6
plot3;1993;8;31;5.2
plot3;1993;9;21;10.1
plot3;1993;12;7;12.8
plot3;1994;3;8;17.2
plot3;1994;4;19;13.1
plot3;1994;5;27;13.8
plot3;1994;6;15;9.8
plot3;1994;7;27;5.9
plot3;1994;9;21;12.6
plot3;1994;11;30;14
plot3;1995;3;13;11.9
plot3;1995;4;26;12.1
plot3;1995;6;7;7
plot3;1995;7;17;9
plot3;1996;4;22;11.2
plot3;1996;8;26;10.5
plot3;1997;5;5;11.4
plot3;1997;10;1;6.5
plot3;1998;7;29;6
