PLOT;YEAR_;MONTH_;DAY_;WATER_60_90_CM_VOL_PROZ
plot2;1993;4;21;13.5
plot2;1993;5;3;13.1
plot2;1993;6;14;20
plot2;1993;6;28;15.9
plot2;1993;7;13;11.4
plot2;1993;8;3;8.9
plot2;1993;8;17;10.4
plot2;1993;8;31;8.3
plot2;1993;9;21;8.3
plot2;1993;12;7;14.7
plot2;1994;3;8;18.1
plot2;1994;4;19;17.1
plot2;1994;5;27;15.7
plot2;1994;6;15;15.4
plot2;1994;7;27;10.6
plot2;1994;9;21;16.3
plot2;1994;11;30;16
plot2;1995;3;13;16.1
plot2;1995;4;26;17.3
plot2;1995;6;7;14.3
plot2;1995;7;17;13.7
plot2;1996;4;22;17.1
plot2;1996;8;26;13.7
plot2;1997;5;5;15
plot2;1997;10;1;8.4
plot2;1998;7;29;11.2
