Year,Month,Day,Watercontent30-60cm
1993,4,21,4.28641033956
1993,5,3,4.25673433514
1993,7,13,4.10044615419
1993,8,3,4.05957511815
1993,8,17,4.03347713749
1993,8,31,4.00823519058
1993,9,21,3.971873557
1993,12,7,3.85189041083
1994,3,8,3.7316170557
1994,4,19,3.68231223342
1994,5,27,3.64053914753
1994,6,15,3.62056330036
1994,7,27,3.57839034461
1994,9,21,3.52597275109
1994,11,30,3.46579609574
1995,3,13,3.38628735864
1995,4,26,3.35512500447
1995,6,7,3.32675784518
1995,7,17,3.30088845556
1996,4,22,3.14527897263
1996,8,26,3.08667112085
1997,5,5,2.98485974947
1997,10,1,2.9323696966
1998,7,29,2.83967253861
