Year,Month,Day,Watercontent0-30cm
1993,4,21,3.93384136668e-06
1993,5,3,3.93384136668e-06
1993,7,13,3.93384136668e-06
1993,8,3,3.93384136668e-06
1993,8,17,3.93384136668e-06
1993,8,31,3.93384136668e-06
1993,9,21,3.93384136668e-06
1993,12,7,3.93384136668e-06
1994,3,8,3.93384136668e-06
1994,4,19,3.93384136668e-06
1994,5,27,3.93384136668e-06
1994,6,15,3.93384136668e-06
1994,7,27,3.93384136668e-06
1994,9,21,3.93384136668e-06
1994,11,30,3.93384136668e-06
1995,3,13,3.93384136668e-06
1995,4,26,3.93384136668e-06
1995,6,7,3.93384136668e-06
1995,7,17,3.93384136668e-06
1996,4,22,3.93384136668e-06
1996,8,26,3.93384136668e-06
1997,5,5,3.93384136668e-06
1997,10,1,3.93384136668e-06
1998,7,29,3.93384136668e-06
