Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S) 
03883;19790307;-999.9;7.5;2.4;-0.8;78;2.7;6.7;4.0;-9.9 
03883;19790308;-999.9;3.5;1.5;-1.0;90;3.7;6.7;1.8;-9.9 
03883;19790309;-999.9;5.0;1.8;-1.2;89;3.7;7.3;0.5;-9.9 
03883;19790310;-999.9;4.4;0.7;-0.4;81;2.7;4.7;4.9;-9.9 
03883;19790311;-999.9;2.6;-0.2;-3.0;83;3.0;8.0;0.2;-9.9 
03883;19790312;-999.9;7.0;1.6;0.4;77;4.0;6.7;4.7;-9.9 
03883;19790313;-999.9;5.5;2.6;3.8;87;2.0;8.0;0.0;-9.9 
03883;19790314;-999.9;5.6;-1.2;-3.5;78;2.0;5.0;3.5;-9.9 
03883;19790315;-999.9;2.0;-0.2;0.0;93;2.0;8.0;0.0;-9.9 
03883;19790316;-999.9;1.3;0.0;-0.4;96;1.3;8.0;0.0;-9.9 
03883;19790317;-999.9;1.6;-0.6;-0.7;95;2.3;8.0;0.0;-9.9 
03883;19790318;-999.9;-0.1;-2.1;-2.1;84;2.3;6.7;0.0;-9.9 
03883;19790319;-999.9;1.5;-4.0;-4.2;82;2.0;6.0;1.8;-9.9 
03883;19790320;-999.9;4.0;-1.0;-2.6;84;2.3;6.3;1.7;-9.9 
03883;19790321;-999.9;11.2;-0.2;-1.9;84;1.3;7.3;5.2;-9.9 
03883;19790322;-999.9;9.0;1.0;-0.5;70;2.7;3.0;9.2;-9.9 
03883;19790323;-999.9;6.0;0.5;-0.6;89;1.3;4.7;5.4;-9.9 
03883;19790324;-999.9;7.2;-1.4;-3.1;80;1.7;2.0;6.9;-9.9 
03883;19790325;-999.9;7.9;-0.1;-3.0;86;2.7;4.7;0.0;-9.9 
03883;19790326;-999.9;15.0;6.5;6.2;80;4.0;4.0;1.4;-9.9 
03883;19790327;-999.9;9.2;2.6;1.4;81;2.7;3.7;2.2;-9.9 
03883;19790328;-999.9;12.0;5.0;4.1;77;2.3;7.3;0.1;-9.9 
03883;19790329;-999.9;8.0;2.0;2.0;97;2.3;8.0;0.0;-9.9 
03883;19790330;-999.9;3.2;1.0;0.9;94;2.3;8.0;0.0;-9.9 
03883;19790331;-999.9;4.5;1.0;1.1;89;2.0;7.3;0.1;-9.9 
03883;19790401;-999.9;8.0;0.9;-0.2;87;2.0;7.0;5.4;-9.9 
03883;19790402;-999.9;8.6;3.8;3.2;93;2.0;4.7;3.3;-9.9 
03883;19790403;-999.9;5.8;3.4;0.7;92;1.3;7.3;1.2;-9.9 
03883;19790404;-999.9;10.6;-1.0;-1.2;76;0.7;6.0;2.8;-9.9 
03883;19790405;-999.9;5.0;0.5;1.2;96;2.0;8.0;0.0;-9.9 
03883;19790406;-999.9;9.5;2.5;0.9;83;0.7;8.0;0.5;-9.9 
03883;19790407;-999.9;9.5;2.5;1.9;84;2.0;7.0;0.8;-9.9 
03883;19790408;-999.9;10.0;2.0;1.8;76;1.3;7.7;1.4;-9.9 
03883;19790409;-999.9;10.2;1.4;0.4;76;1.7;4.3;2.3;-9.9 
03883;19790410;-999.9;16.0;1.8;0.5;66;2.7;0.0;9.4;-9.9 
03883;19790411;-999.9;17.5;4.0;2.1;55;2.7;0.7;10.3;-9.9 
03883;19790412;-999.9;14.6;5.0;4.1;81;0.7;6.0;3.1;-9.9 
03883;19790413;-999.9;19.9;2.1;1.4;74;0.7;1.0;9.7;-9.9 
03883;19790414;-999.9;19.4;2.9;0.8;80;0.7;1.0;9.3;-9.9 
03883;19790415;-999.9;17.8;3.0;1.1;73;1.0;0.0;9.2;-9.9 
03883;19790416;-999.9;10.0;5.4;3.7;93;2.3;8.0;0.0;-9.9 
03883;19790417;-999.9;7.2;1.0;0.7;88;3.0;7.7;0.0;-9.9 
03883;19790418;-999.9;7.6;-1.5;-3.4;80;1.3;0.0;4.2;-9.9 
03883;19790419;-999.9;9.9;0.4;1.5;79;0.0;5.0;4.8;-9.9 
03883;19790420;-999.9;9.5;0.3;-1.4;88;1.3;7.7;0.2;-9.9 
03883;19790421;-999.9;8.2;5.8;5.7;95;2.7;7.7;0.0;-9.9 
03883;19790422;-999.9;13.5;5.5;3.5;78;2.3;5.0;2.7;-9.9 
03883;19790423;-999.9;13.4;5.4;4.1;89;1.7;8.0;1.2;-9.9 
03883;19790424;-999.9;11.0;6.0;4.7;92;1.7;8.0;2.4;-9.9 
03883;19790425;-999.9;11.0;5.0;3.7;75;0.7;7.3;4.4;-9.9 
03883;19790426;-999.9;9.6;5.4;4.9;84;1.3;7.3;0.0;-9.9 
03883;19790427;-999.9;10.4;3.0;4.3;81;2.0;7.3;1.9;-9.9 
03883;19790428;-999.9;10.6;4.0;3.1;75;1.3;7.0;3.5;-9.9 
03883;19790429;-999.9;9.4;5.0;2.6;82;2.7;7.0;0.4;-9.9 
03883;19790430;-999.9;8.2;3.4;5.4;83;4.7;7.3;4.2;-9.9 
03883;19790501;-999.9;7.7;1.5;-0.3;82;2.0;5.3;7.9;-9.9 
03883;19790502;-999.9;9.7;2.6;2.6;88;4.0;7.3;0.4;-9.9 
03883;19790503;-999.9;9.4;1.7;1.0;85;3.0;5.7;3.8;-9.9 
03883;19790504;-999.9;9.6;0.4;-1.4;94;2.0;6.3;5.4;-9.9 
03883;19790505;-999.9;9.7;0.1;-0.9;70;0.7;6.0;8.9;-9.9 
03883;19790506;-999.9;8.3;2.5;1.3;87;2.3;8.0;0.0;-9.9 
03883;19790507;-999.9;11.8;2.4;2.0;67;2.0;6.3;6.4;-9.9 
03883;19790508;-999.9;18.2;5.8;4.7;50;2.0;5.0;7.6;-9.9 
03883;19790509;-999.9;21.0;2.5;0.6;47;2.3;4.0;13.0;-9.9 
03883;19790510;-999.9;13.7;5.4;5.0;63;2.3;6.3;6.1;-9.9 
03883;19790511;-999.9;12.1;0.3;-2.1;78;1.7;7.7;2.0;-9.9 
03883;19790512;-999.9;13.4;7.4;7.0;83;1.3;7.7;0.7;-9.9 
03883;19790513;-999.9;14.8;7.5;6.0;82;1.3;5.3;0.2;-9.9 
03883;19790514;-999.9;24.0;4.7;3.8;75;1.7;0.3;14.0;-9.9 
03883;19790515;-999.9;27.2;9.1;8.1;56;1.7;0.3;14.1;-9.9 
03883;19790516;-999.9;27.1;10.5;8.5;50;2.0;0.0;13.8;-9.9 
03883;19790517;-999.9;21.5;13.6;7.5;74;3.0;7.0;4.3;-9.9 
03883;19790518;-999.9;16.5;13.2;10.5;80;2.0;7.0;0.9;-9.9 
03883;19790519;-999.9;20.0;7.5;5.5;64;1.3;4.3;13.4;-9.9 
03883;19790520;-999.9;20.2;6.5;5.0;73;3.0;8.0;0.1;-9.9 
03883;19790521;-999.9;19.5;10.0;12.0;58;2.3;3.0;8.7;-9.9 
03883;19790522;-999.9;19.5;9.0;5.5;74;1.3;5.3;2.4;-9.9 
03883;19790523;-999.9;25.0;10.0;6.7;62;2.3;4.3;12.3;-9.9 
03883;19790524;-999.9;17.2;10.0;9.5;85;2.3;7.3;1.1;-9.9 
03883;19790525;-999.9;16.0;7.5;6.5;89;2.7;3.0;8.7;-9.9 
03883;19790526;-999.9;22.0;4.2;3.1;68;2.3;5.3;6.7;-9.9 
03883;19790527;-999.9;19.0;12.6;12.6;87;1.7;7.3;0.7;-9.9 
03883;19790528;-999.9;20.2;10.0;9.2;90;1.7;4.3;11.8;-9.9 
03883;19790529;-999.9;27.0;10.0;7.5;59;2.3;1.7;12.3;-9.9 
03883;19790530;-999.9;28.0;14.0;11.5;63;0.7;2.7;9.0;-9.9 
03883;19790531;-999.9;29.6;14.5;10.0;59;1.7;0.0;14.1;-9.9 
03883;19790601;-999.9;31.2;15.0;14.0;66;1.0;2.7;10.0;-9.9 
03883;19790602;-999.9;32.0;15.5;14.5;64;0.7;4.0;8.1;-9.9 
03883;19790603;-999.9;30.5;16.0;12.5;65;1.0;3.3;8.5;-9.9 
03883;19790604;-999.9;30.0;15.2;13.2;62;1.3;0.0;11.9;-9.9 
03883;19790605;-999.9;30.2;17.0;14.0;60;1.7;2.0;10.0;-9.9 
03883;19790606;-999.9;20.5;16.0;16.5;89;2.3;8.0;0.7;-9.9 
03883;19790607;-999.9;16.8;10.8;15.0;93;1.3;6.3;0.0;-9.9 
03883;19790608;-999.9;16.2;9.8;9.0;87;1.3;6.3;1.6;-9.9 
03883;19790609;-999.9;19.1;11.0;9.0;75;3.0;4.7;7.7;-9.9 
03883;19790610;-999.9;17.0;10.0;9.2;79;0.3;3.3;9.7;-9.9 
03883;19790611;-999.9;23.0;6.0;4.8;76;1.0;1.7;6.7;-9.9 
03883;19790612;-999.9;21.5;13.2;10.7;77;2.3;3.7;9.9;-9.9 
03883;19790613;-999.9;15.1;11.6;12.0;89;0.3;6.3;0.4;-9.9 
