Year,Month,Day,Watercontent0-30cm,Watercontent30-60cm,Watercontent60-90cm
1993,4,21,19.0559061267,21.6066452326,22.8380620347
1993,5,3,14.2399543663,20.3710589561,22.1224387496
1993,6,14,27.0637746339,23.4498596545,20.7110918632
1993,6,28,19.8442883708,21.5209036909,22.435553289
1993,7,13,19.4328683571,19.5720941008,21.2314119184
1993,8,3,16.0301124389,19.3971509535,20.867804039
1993,8,17,15.3331661872,19.3582959394,20.6364471444
1993,8,31,18.538294377,18.9114770444,20.4040175292
1993,9,21,21.8988246253,23.1542170922,23.1422986979
1993,12,7,23.6001534722,23.9546962094,24.303978936
1994,3,8,25.3642403877,25.6842084708,25.9010433617
1994,4,19,24.7827301162,25.9966270983,26.8536715316
1994,5,27,23.5583076174,23.6871237341,23.8196402952
1994,6,15,18.6857681464,20.8069189049,22.4390372335
1994,7,27,7.18588221864,11.3625769019,18.2570388134
1994,9,21,23.9397409663,24.4131425485,24.1439132394
1994,11,30,24.2332517898,24.5839979451,24.7302862354
1995,3,13,23.6137731223,24.6888289329,25.4815971518
1995,4,26,19.3986567054,23.3056931631,24.7544346755
1995,6,7,21.0603084456,21.3547148559,22.2355394895
1995,7,17,10.5765704282,17.0615142513,20.556359982
1996,4,22,15.1789729161,19.6064358834,21.0272743696
1996,8,26,18.0625148839,17.9014123455,19.2401887044
1997,5,5,17.1856755526,20.2656173139,21.3467071055
1997,10,1,16.6805085432,19.8231346852,21.0985363472
1998,7,29,11.645888366,10.8022081924,18.0823331499
