Year,Month,Day,Watercontent0-30cm,Watercontent30-60cm,Watercontent60-90cm
1993,4,21,20.5827176016,22.8754566735,23.3441416051
1993,5,3,16.08992305,21.5273145078,22.5982262841
1993,7,13,20.3876977931,19.2274751341,20.9104856735
1993,8,3,16.3778167652,19.1642891849,20.4194759832
1993,8,17,16.1269256435,19.4280702682,20.1477401995
1993,8,31,19.5472782772,19.2052308977,19.9662908794
1993,9,21,22.6830624932,24.0477926719,21.8369736508
1993,12,7,24.5183226261,24.8762642735,24.0832581071
1994,3,8,28.5135655946,29.540337174,28.9018165737
1994,4,19,27.9503211748,29.5007213562,29.6660232214
1994,5,27,26.2974766723,26.7706827834,25.799388437
1994,6,15,21.947447929,23.497410403,24.4274598434
1994,7,27,7.67468697159,11.8636001159,19.4406071554
1994,9,21,24.7875982841,25.339035408,22.6325212006
1994,11,30,25.27561321,25.685913719,24.3541613896
1995,3,13,26.7617890823,28.0462941019,28.010230806
1995,4,26,22.6547213592,26.0704852129,27.0224216911
1995,6,7,23.6837443305,23.9314671526,23.7817349178
1995,7,17,11.9536619997,18.0353050273,21.8710643333
1996,4,22,16.7902024136,20.6256159843,21.4061493151
1996,8,26,19.2626798974,18.4139228636,19.1247803859
1997,5,5,18.8480185132,21.6786746395,22.0484346211
1997,10,1,17.7485107132,20.4851049673,20.9802121564
1998,7,29,13.4362605578,9.69996152021,18.3801669522
